id,sentence,sentiment
29282,"This Panera (Gosh, they popped up everywhere) is standard Panera I'd say. Smaller patio on the sidewalk and not the most inviting of patios in the small strip of a larger shopping area with Lowe's and Walmart . I usually find someone will come and smoke near you if you sit outside here for a little while (Must resist the urge to slap the person).\nUsually clean but have found the Internets here a little slower than other Panera's. \nBagel's are pretty good but get chewier as the day progresses and i don't usually make it to a Panera until the evening.  Find the food to be a little pricer for the same fare as Jason's Deli or McCalister's but always pretty fresh and good. \nLove the Chicken Noodle Soup though, my favorite!!",3
15177,"4 stars for being able to get a tasty and good-sized portion of spicy Malaysian Chicken Fried Rice, late afternoon without leaving Bellagio. Soaked up some of the day's excess alcohol wonderfully.\n\nA star off for having to pay Bellagio prices for the above.",3
12609,"I stayed at the Palazzo but accidentally checked in at the Venetian. The lady that checked me in was very rude and talk down to me. Every question I asked she acted like I was burdening her. She then gave me directions to the Venetian side and we carried our luggage all the way to the 18th floor not realizing we had to go to the 18th floor of the Palazzo. She checked me in, she should have directed metro the palazzo. The Palazzo hotel was great.",2
12144,"Eh.  For the big Irish pub on the square, this is just average.  I like the ambiance.  It is a place to sit and have a pint while chatting with friends.  It never gets too loud.  Upstairs, the couches are fun, almost Alice in Wonderland inspired.  \n\nPrices are a bit high, but if you happen to luck out for happy hour then you are golden.  They have happy hour everyday from 10pm to close.  It is a nice place to end your day and get a deal. \n\nI have had their food a couple of time.  It is ok.  I am just not overly excited about this place.  They always card. ALWAYS.  Kind of annoying because I am obviously over 21 and there creates this HUGE congestion at the door.  \n\nI do not hate this place but I do not love it.",3
6113,"For a place that just opens pre-made packages and plops them on a salad-bar, I would think that this effort might not have been to challenging. Perhaps I had my hopes up too high.\n\nI went here for a quick bite as I had business in the neighborhood. I must say, I would have done better anywhere else. The salad selection was less than fresh to say the least. A person kept barging out of the back to refill things, and was super surley. Just get in her way and get an elbow.\n\nAfter the salad selection are random canned things. I guess those were ok. I am not sure.\n\nThey also have a \""hot bar\"". This is where things get really depressing. They had a kind-of taco set-up thing going with what appeared to be ground beef. Except it wasn't! It was straight-up textured vegetable protein! Who even does that? I got a baked sweet potato, and that thing had been sitting under a heat lamp for what seemed weeks and was inedible. The soups were just blah. Who serves french onion soup without the topping? The pizzas they had on the platter were less than what you would expect from the cheapest of frozen pizzas.\n\nJust all in all horrible. I left having drank and unsweetened ice tea and left a plate from the all-you-can-eat salad bar totally full.\n\nWhat a waste of time and money. This place is gross.",1
15908,"I would give this place 2.5 stars.\nThere was nothing really terrible about kofusion but there wasn't anything that great about it either!\nAtmosphere- fine. A little sparkly for my taste but whatever. It was busy, otherwise sitting outside on the patio would have been much nicer.\nService- I know it was busy but the service was a mess. The food came out really fast but none of us had chopsticks, or soy sauce, or ginger, or wasabi, and they were about to just leave us! Not to mention trying to get a drink!\nFood- pretty bland and mushy with a couple good standouts on my sampler plate. I swear, one of the bad ones must have been the bologna of the sea because it looked/tasted like a hunk of spam stuffed into a roll form topped with some sauce. I spit that one out. \nThere were a couple good pieces that after I try every other sushi restaurant in C-U I might come back for.",2
821,"I'm on a quest to find a phoenix and dragon similar to my favorite Chinese place in Indy. This is the closet I've come, much to my disappointment. This restaurant keeps getting into my apartment building, despite the security doors. Today they just stuck them in the elevator. Which I thought was pretty neat compared to their normal door spamiming. Then I went down to the first floor and realized they also just scattered them all over the floor.\n\nIn my phoenix and dragon I had five \""jumbo\"" shrimps. Which are really just average sized shrimp. The only thing I can think of is that they consider the mini shrimp some Chinese places have as normal. I guess compared to those the shrimp is jumbo. The \""spicy chicken\"" is just general tso's. I got medium spice which was barely spicy at all. Most of my dish ended up being peas, carrots, and onions in a weird \""spicy\"" sauce that wasn't very good.\n\nI also got the rangoons. Some one else mentioned in this that they don't really have much crab. Which is an understatement. There's maybe a flick of crab in each. They're still fairly good, just not crab.\n\nI suppose the worst part was delivery time. The confirmation email doesn't come with a estimated delivery. Whatever, my boyfriend and I expect 40 minutes like normal. 40 minute mark rolls around and we haven't gotten a call. Since our buzzer system isn't set up we were worried that they didn't see the note to call and were buzzing us. The person who answers says it's in the car and close. 20 minutes later we're still waiting. My boyfriend calls back and goes to give his info. The lady says, \""Oh, you just called. It's almost there,\"" and that was it. Uhm. Ok. A little less than 10 minutes later and it arrives. The driver apologized and It was still hot. So there's that.\n\ntl;dr small portions, not jumbo shrimp, not spicy, not very good, long wait, unfriendly staff on the phones, friendly drivers, and they litter my apartment building a lot.",1
15118,Really good Chinese food.  The duck and pork noodle soup is awesome.  Portions are not that generous so be advised but worth it for Chinese hotel strip food.,4
26497,"Wow. This was a waste of time. It seemed that they wanted to teach about a couple of habitats and be a zoo but they didn't have enough funds to realize the objective. There are a few animals and some displays about habitats, but we found this to be really disappointing.",1
42111,"Meh... It was just ok. The food looked better than it tasted :-/  I had the BBQ chicken, greens, and mac & cheese. I would give it another try, but order other items from the menu. \n\nAside from that, the service and atmosphere were great!",3
30188,"Complete, utter, crap. Ignored by servers for hours after we sat down and it was not busy there.\n\nHad to ask for everything. Forks? Yup we didn't get those. Water? Had to constantly ask for refills by flagging down any passing staff.\n\nYou may think the food is really good only if you haven't actually traveled outside of the fast food box.\n\nI thought it was mediocre at best, but combine that with the horrible staff and the only experience you will have here is boredom.",1
37237,"I want to start off by saying I usually hate fish and chips but agreed to try this place out with my friend as per our usual yelp event. I instantly loved it. the restaurant itself is very casual laid back feel, we ate outside however. The service was good as well. \n\nI ordered the salmon fish and chips in  a Guinness batter and my friend ordered the cod. We swapped one each so we can try both. I personally enjoyed the salmon more but they were both delicious. We also both split the popcorn shrimp which were great. \n\nA great fish and chips joint with quality ingredients thumbs up!",3
33109,"Worst service I have ever recieved. I go to this Starbucks a lot because it's on my way to work and everytime I regret it. The service is slow, even when I'm the only person in the drive thru. It take them forever to even greet me, and the coffee isn't that great either",1
36480,"Conveniently located inside of Caesars Palace... However, they're not a part of the Total Rewards program that Caesars is a part of. \n\nWhy would this matter? Well, cause you can't claim your free birthday drink here! \n\nWhile not my personal favorite, it's not a bad bar to try...",3
24148,"Food was creative, flavored were good. Appetizer portions reasonable for the price and quality. Main courses however is where they fall short. Portions were far too small for the price, about $6-10 more than should be depending on what you order. Bread was a but dry for brioche but a nice light bread to have with the meal. Wine selection is very good and varied. Coming from a food town like Portland, this restaurant is nothing special but is a great addition to the chandler/sun lakes area. I would not return for dinner but would for apps and a glass of wine. They were not very busy for a Friday night either so I suspect many others feel it is overpriced for dinner, too. Would re-evaluate that for longevity.\nNice atmosphere too despite odd strip mall style location.",3
5503,"Decided to take the family out to a nice brunch, so we decided to go here. We heard good reviews so we decided to give it a try. The breakdown: Lakeview was great. The service was lagging. Constantly had to remind our server to refill waters. (Even when his section was empty). Appetizers took 30min for salmon tartare and French onion soup. By the time we got our main course we were full on bread and patience. First time here = bad experience. Food overall was ok. There's no definite wow factor.",2
3918,"boston's. dirty, dirty, dirty boston's. \n\nthe beer is flat, the decor is deteriorating before your eyes (literally saw a ceiling tile fall on someone.), and the offtrack betting is amazing and makes you feel even dirtier!\n\nbut this is a dive bar and you should have no standards when you walk in here. if you have standards all the time you should probably go hit up some glitzy, clean chain bar that serves those drinks with little umbrellas in them. this is dirty boston's.\n\nthey serve minipitchers during happy hour for around 3.50 depending on if you like domestic or you want to get fancy with an imported beer. service has always been friendly and actually pretty prompt. bathrooms are scary, but c'mon, didn't i tell you this was a dive bar? don't go looking for ambience, just come here if you'd like to get really drunk really fast. priorities.",3
38478,The staff was very friendly and accommodating and the atmosphere was delightful.  However the food was just OK and somewhat overpriced.,3
49717,"We were so excited to try a restaurant at SLS. What a letdown. Terrible service. The waitress never came by the table after the food was brought out so we couldn't inform her that our burgers were cold and our orders were wrong. Our drinks hadn't been refilled at all. You'd think at $8 a beer they'd at least offer to get you another one. I know they're new, but at $15 a burger, they should have great service to compensate.",1
47609,"I've been here 3 times.  Twice thru the drive thru and the last time I dined in.  So glad I did.  One of the cooks (stawky white guy) wasn't wearing gloves.  Then he went to the restroom and bumped my chair and elbow in passing without a word. I went to use the bathroom and guess what, no paper towels.  So I used the blower which made a lot of noise.  That told me the cook failed to wash his hands.  When I walked out of the bathroom,  he had a hand full of bacon.  My friend had the bacon burger lol.  Oh,  did I mention that when he bent over all you saw was crack.  I'll go back but only if he's not there. The burgers and fries are great.",3
22062,I would give it a zero if I could brings a very unsightly crowd to a good area.,1
9413,So I will start off by saying about a month ago I was yelling to the TOP of my lungs everyone needs to visit the Fremont Casino its my favorite place!!!  They have the best tables!\n\nSadly I had a horrible experience and it has permanently changed my views of this place. I was playing at the Craps table ($3) and this very loud group next to me was playing and the man next to me on multiple occasion kept thinking my money was his. So in my mind I am like why aren't these people doing anything to prevent this? So it got so bad that they actually had to go look at the tape.\n\nSo here is my real issue. The man argued to the staff that it was his money on the table and I was nicely sad that it was mine but the game in no way could be stop while the conflict got resolved. So Money that no one could confirm sat on the table when all I wanted to was grab my money and leave. The Manager on duty Monica  was so rude to me she did look at the tape (for 10-15 mins) and saw that it was my money and when I asked for my $3 back YES $3 that they couldn't confirm that was mine she tried to tell me I was trying to get over and scamming them. I WAS LIKE ARE YOU SERIOUS you guys make $3 in 0.02 seconds and you can't afford to give me $3???? She told me I had to make an appointment to speak to someone higher than her. the customer service was TERRRRIBLE and it did not stop there.\n\nThe next morning I called and asked to speak to the Operations Manager and he got on the phone and told me he would take a look at it and give me a call back and pretty much said what do you want and we cant give you anything more than $3. I NEVER HEARD FROM THIS MAN EVER AGAIN! \n\nand I made it clear if you would've given me the stinking $3 I would've given it right back to you at the craps table. \n\n\nJust be careful at this place... I am so sad that this happened to me at my FAVORITE place.,1
38340,Not impressed. It does NOT resemble a cave so don't be expecting any cool ambiance.  A 4oz piece of fish or chicken is $15-20. Not worth it. Small plates are enough for 1 person. Don't go here hungry.....,2
30263,The crew here is the best...The hawaiian guy in the front makes you not even think about stealing. The mobile department always hooks it up when it comes to the best plans. Great staff!,4
41252,It is pretty good place to get boba. The snow ice is good and sweet. Only problem i have with this place  is that the service is not that great. I keep coming back because the boba is good.,4
14644,"Time: End of June, Sunday Brunch \nSmoked Bacon: 5 stars, was one of the best I've had\nPorridge: 5 stars, simple and yum.\n\nEverything else was close to at par. I won't be coming back.",3
26335,"The food here was pretty good, though we made the mistake of arriving about 10-20 minutes before close. We wanted to sit inside because it looked cozier than the tables in the middle of the walkway, but we were told actually they were starting to clean up in there so we would have to sit outside. No problem!\n\nHowever, we felt immediately like the few waitstaff were visibly upset we had been seated, particularly our waiter. He looked tired, and annoyed he had a table. So much so we literally asked him 3-4 times if it was really OK that we were sitting down to eat. He assured us it was OK if we put the order in quickly. \n\nOverall, they pushed the food out quickly, and we all enjoyed our pizza/pasta. For the price, this place is quite the deal on the strip. You get a lot, it's in a nice indoor location, and the food was very good. If this was a normal restaurant I would give it 3 stars (entirely because of the feeling like we were a burden, the food was great), but the value vs others around make it a 4 for me.",4
28102,"I am so torn on this review...so buyer beware.  The real reason I am giving this place 4 stars is for the hot homemade donuts that they make for desert.  There are also 2 dipping sauces too...a chocolate and a buttery carmel...I love the carmel it takes the donut to another level.\n\nAlso during dinner they put fresh homemade dough pretzels on the table with a butter mustard dipping sauce.  These are really good and a different twist on just throwing bread on someone's table...plus it is the only thing you can get for free at the Wynn.  I feel like a winner!\n\nWe went with the pre-fixed menu and it was a good deal...you could choose a starter, entree and desert for $39.  I went with the rib-eye medium rare...it was suppose to be a peppercorn rub but I was able to get it without it...thank you chef.  The steak was cooked perfectly and came with Mr. Wynn's Special Steak Sauce...wow was it good...I had to ask for more because everyone at my table was dipping all of there food in it.\n\nPersonally the staff is okay here...I would expect to be more impressed with this being a Wynn Property but it seems like the staff here are lacking in training.  I have never seen this place packed in all of the times we have eaten here, so maybe the really good waiters do not want to work here.\n\nMy buddy ordered a calamari starter and it was so fishy I would have thrown it back into the sea.  The waiter asked if it was good and he said yes...but I would have sent it back.  If I had ordered that this place would be getting one star.\n\nThe Mac and Cheese Bites Starter was also amazing too.  But Mac and Cheese Deep Fried better be good.\n\nI also started with the Lettuce Wedge with Blue Cheese and Bacon.  I had no idea that this could be bad.  First there is only one strip of bacon that was cooked two days ago sitting on top.  Maybe the Chef could have diced this up for me.  There was nice chunks of blue cheese but hardly any dressing...so it was very dry.\n\nSo as you can see I am giving this place 4 stars but that is for those amazing donuts...everything else is just really good or really bad.  I should just commit to the 3 stars but I can't do it.  I am just not a 3 star guy.\n\nOn Yelp it says that this place is Italian...there is nothing Italian about this place...there is one pasta dish but nothing else.  In fact, the menu covers ever food choice and is probably more American, then anything else.\n\nThere is also a full bar too, so drink up my friends it is VEGAS!",4
17523,"I went here twice for the time I have been in Las Vegas.  The first time, it was pretty good, Service was nice and fast, the food came out at a good pace, everything tasted pretty good.  The second however, I was not a fan at all.  There was one other table that was seated so I assumed things would come out at a steady time.  Boy was I wrong.  On my second visit everything was the complete opposite, and I wanted a nice bowl of ramen.  Please do not get it here, it is actually the instant ramen stuff, which made me so sad.  I feel like i should go in one more time to see how it is, but after the last visit I dont plan to anytime soon.",3
24712,"I got the stuffed raspberry french toast here, and an omelet, after hearing how great it was, and how cheap. Yeah, there is a reason they don't have their prices online. It was around 10 dollars for their 'stuffed' french toast. Let me tell you what stuffed means to them. It means two slices of toast with some kind of cream cheese filling spread in them. And where does the raspberry come from? The five raspberries they throw on top of it. But I could look past this, I guess, as their way of making stuffed french toast. I surely don't expect something like Ihop, since this is suppose to be 'home cooked meals'. But when your stuffing is so miniscule it's like you spread a small amount of butter on toast, it is very disappointing.\nThen came the omelet with the hash browns. It wasn't great. Not bad. But not medium either. The potatoes were ok, then again you shouldn't be able to mess that up, but the omelet was just....eh, I guess is the only reaction I had to it. For the prices and hype this place gets, I can't believe the food I got. I might give it another try, if I had a coupon or something, but other than that, I really would pass on it.",2
40485,"Not a bad spot...cool vibe....but a little overpriced.  They were nice enough to replace our octopus dish which i thought was a little rubbery.  for vegas, they are prob better spots to visit since this is in a weird location.  prob wouldn't return...",3
3850,"set the scene- \n\nparty of 5 staying at the hotel for business \n\nmore then half empty restaurant\nhalf to wait a half hour for a table that could accommodate us\nsat at ginormous table\nwaiter comes by after we sit, of course we are not ready at this point, dont see her again for a whole 20 minutes\norder 2 bottles of wine, salads, entrees\nsalad was good but certainly would not classify that dressing as caesar\nentrees - lets just say that not one person felt that they could not prepare their food better, at home  pretty sure my mashed potatoes were powdered  \n\nhad a better meal the next night in the lobby bar",1
40040,"My daughter and I went last Sunday for lunch. We were seated in about 10 minutes so that was good however, that was the beginning of the end. After 15 minutes I had to get the attention of the busboy and asked him if he could be sure we weren't forgotten.  About 5 minutes later the busboy brought water and said the server was coming. NOT!  We left after another 15 minutes passed and went to Red Robin.",1
49146,"I stopped in today for lunch. The staff were nice, service was fast. The food would be what I'd consider a restaurant style bbq. The ribs tasted like they were smoked and dry rubbed, pretty good even though im more a fan of a more vinegary and fatty rib. The cornbread was ok. The hot sauce was a little over powering, not from heat..it just didn't leave any room for the flavor of the meat. Overall good experience but the place was empty...so if you want a bbq place in the South Side..you should probably stop in so they keep their lunch hours.",4
30001,Worst food terrible service and was forced to listen to the worst music ever created by a live singer hired to torture our ears\nI could not wait to get out of here.\n\nIf there were negative stars for this review\nIt would be warranted,1
45926,"Be prepared to take 3 ID's and a credit card with you because apparently these guys don't know how to identify their customers. We waited for almost an hour because 4 bouncers kept on insisting that my friends ID wasn't hers even after she answered their questions and showed them her credit card which by the way had another picture of her.\n\nSo after that whole unnecessary ordeal (the guy was just being a douche) we went to another club and guess what, we got in. Been to the majority of the clubs here in Vegas and never has this happened. All I can say is the staff here better get their heads out of their a** and realize people aren't going to look exactly the same on their license, especially after it was taken 4 years ago.",1
43824,"AVOID - LINES TOO LONG\n\nI came the week between Christmas and NYE.  At around 6, the line was about 3.5 hrs long.  We paid $20 each for the express pass which shortened the wait to only 20 minutes.  \n\nHOWEVER once you get inside, the FOOD LINES are also very long.  Around 7:30, there was a 30 minute long line just for the seafood.  I waited 20 minutes in the meat line!!!  I was pissed off the entire dinner because of the food lines and took more food than I can eat because I didn't want to wait in the line again.    \n\nBacchanal needs better food station management.  The seafood and meat stations always have long lines which block people from getting the other dishes besides the crab legs and the carving station.  \n\nThere was a sign that asked people to limit their eating time to 2 hours but that's impossible because you spend an hour just standing in each of the food station lines.  MANAGEMENT NEEDS TO ORGANIZE THE STATIONS BETTER.",3
4892,"I really had high expectations for this place given how everyone before me raved about it. Plus I have been traveling to research dishes when I open my own izakaya restaurant. \n\nOf course, my friend and I come here after being at LAX, so we may have gotten in on the tail-end of it all. Overall, it was not bad. Seems like the type of place you go with friends to drink and be merry. Not the culinary adventure I was expecting.",3
725,"I went here as a last resort after being unable to secure a table at Beef-n-Bottle, so my expectations in regards to meat quality that day were a little high.\n\nThe first thing to expect at Outback is a fairly long wait on weekends; if memory serves me correctly, the wait on a Saturday night was about 50 mins.  There is a small waiting area to the left of the door that has complimentary lemonade and they also pass out samples of appetizers.  This small space is a real life saver when it's really cold outside.\n\nRegarding the food, I recommend either the Victoria Filet or the New York strip (rare or medium rare).  Since the prices are so reasonable, you're basically looking at a $10-14 steak if you get the sirloin and based on the comments from the table next to us, a $10 piece of meat is what you're gonna get.  While we enjoyed our filet and New York strip, the couple next to us was unable to finish more than half of their sirloins.  They said that the meat was kind of tough and dry.  I personally found my strip to be tender and juicy, however it was lacking in the seasoning department, let just say I needed a lot of steak sauce.  The loaded baked potato was cooked well, but the cesar salad that I had was very bland.  The dressing had almost no taste and the parmesan cheese was bland with an odd peppery taste.\n\nThe service was great, our waitress was very attentive and friendly.  If you asked me if I'd return, I'd probably say no.  The food quality just isn't what I'm used to in the realm of steaks.  To be honest, I've had better steaks at some of Charlotte's local bars.  If you're on a limited budget and want a steak dinner for $20 or less, you can't beat the pricing here.",2
22949,Stop here almost every time we are in Vegas. Jell-o shots and redbull vodkas! We usually see the same bartenders too which is nice. Good service!,4
37213,"Great vibe and location for we S. Phx folk, but ye gods, beware ordering a \""house Cabernet\"" during Happy Hour - $12 a GLASS!  For happy hour house wine?  Are you kidding?  \n\nThe hhr food is a great deal, we'll be ordering beer next time.. phew.  \n\nCaveat emptor.  Bring a high limit credit card.",2
15269,"$30+ for tiny, tapas-size plates of food, albeit delicious food. $50-$60 for \""entree' size portions that aren't much bigger. I'm giving it three stars because I knew what I was getting myself into and I wasn't suprised when I got the bill. The restaurant itself is nice...everything red and black. We sat at the bar and watched them cook, which is the whole idea of this place.  The food is good, but the value is horrendous. If thi is suppoed to be a more 'caual' dining experience, then they need to knock 25-30% off the prices at least.",3
22367,"Mediocre food, enormous portions, and an uninspiring wine list make Kings Fish House the epitome of a boring chain restaurant's suburban location. They have the \""Hello, my name is Jane and I will be your server tonight!\"" kind of robotic service, which I find terribly annoying. \n\nI'd be willing to overlook all the above if the oysters - something they are supposed to be known for - had been great. Unfortunately, they were neither particularly fresh, nor were they shucked immaculately. Heck, the selection itself was a disappointment with three out of seven being from the same Mexican bay and only two East Coast options. And such disappointment was every dish we had from salads to main courses through \""specials\"", including the salmon that was colored to a hideous cadmium orange shade you would only expect to find on a Pantone color guide and not on your plate.\n\nLuckily, there are plenty more fish in the sea, so it's very unlikely I'll ever be back.",3
46734,"Visited Casa Reyna in the basement of their strip district location off 21st and Penn avenue for lunch on Good Friday.  Their ambiance downstairs is decidedly cool and feels appropriate given the genre of food.\n\nMy co-worker and I opted for the special of the day: verde chicken enchiladas.\n\nThe chips and salsa were good.  The enchiladas were OK, but nothing special.  The chicken was tender, but it was just overly boring and nothing to make me say, \""Wow!\""\n\nWhat deserves special mention is the horrible service.  We were seated quickly, and then sat awhile waiting for our server.  He eventually made his way over, and after repeating our order a couple of times (due to language difficulties), we waited for our food.\n\nA decent amount of time had elapsed, but our chips and salsa were nowhere to be found.  Our chips showed up, and then thirty seconds later our lunches showed up.  I would have rather had the chips instantly while we were waiting for our food.\n\nAfter the food was delivered, no one checked on us for an extended period of time.  Since we needed to get back to work, we flagged down the manager (our server was too busy setting up tables to cater to the ones he already had), and asked for our check.  Instead of the manager getting our check himself, he tells our already in-attentive server to get it.  We never interacted with the server after the initial placing of the order.\n\nMore time elapses.....\n\nNow we are getting mad, because we've waited about 20 minutes after asking for our check, and the dirty dishes are still sitting in front of us.\n\nIt wasn't until we stood up, put our jackets on told the manager that we were leaving did he finally bring the check.\n\ntl;dr: Food was ok, service was horribly slow and inattentive for lunch.",2
