sentence1,sentence2,label,id
"6. Gale T, Ja W, Welty T. Differences in detection of alcohol use in a prenatal population (on a Northern Plains Indian Reservation) using various methods of ascertainment.",The same method of ascertainment is used in detection of alcohol use in a prenatal population.,2,mnli_175942
A man stands at the top of a mountain with his hands in the air.,A man stands at the top of a summit with his hands in the air.,0,snli_299182
A man is sitting on the floor indoors preparing food on open fire.,There is no food.,2,snli_457154
"It was more of a limo, actually.","It wasn't quite a limo, necessarily, but it didn't resemble anything less than that; it's length and luxurious appearance made it seem as such.",1,mnli_273676
Two boys talking while wearing unique outfits.,Two girls talking while wearing unique outfits.,2,snli_132160
A man and a woman work with a tool on a log.,Two people working on a piece of a tree.,0,snli_394439
A woman in a blue tank top is bicycling on a path.,A woman wearing a tank top and riding her bike.,0,snli_314532
Male gathering straw to make huts.,The man is burning the hot dogs on the grill,2,snli_544327
Joe Kennedy's marriage and the alleged affair between Michael Kennedy and a teen-ager.,The alleged affair was a national controversy for many weeks.,1,mnli_77318
"Specifically, it designated lead agencies within the federal government to work with private-sector and government entities in each of eight infrastructure sectors and five special function areas.",Agencies within the government were designated to work with private and government entities in many areas.,0,mnli_26906
A man with his prosthetic leg removed is dressed in blue jeans and a white t-shirt and sitting in front of a blue door.,The man can really just detach his real leg.,2,snli_57809
oh what uh what kind of,What type of...?,0,mnli_298089
"No, he might be killed! And Rennie's tone indicated he meant just that.",Rennie was the one that might kill the man.,1,mnli_90931
"Quite sure, sir.","Yes, I am certain, sir.",0,mnli_368946
"Most visitors come for the sunrise or sunset on the mountains, and though the weather is often at its clearest in the early morning, low clouds and fog often obstruct the view.","Many of the visitors who come, are also very impressed with the hotel's cuisine.",1,mnli_213655
"That's what happened on Meet the Press , where Russert, after hosting Bradley's jocks for much of the show, explained the absence of a Gore representative by reporting, We asked the Al Gore campaign to provide celebrities who would support him.","On Meet the Press, we asked the Al Gore campaign to provide names of celebrities who would support him, but they said the need time.",1,mnli_150502
"Come here.""  He caught her and yanked a single hair out of her head.",He caught her as she was trying to run away and yanked a hair roughly out of her head.,1,mnli_71106
"The only housing available was huts or tents, and the roads were generally quagmires.","Since the road were generally quagmires, no vehicles could pass through.",1,mnli_365470
"Man in black pants and vest balances between to pillars, holding two flaming torches in his right hand.",A man holding torches.,0,snli_259987
The timer hidden in a showpiece resembling a toe-breaking device went off.,The timer was very loud.,1,mnli_311577
A male musician dressed in black with a guitar pick in his mouth performs during a concert playing the guitar looking out at the crown with a back drop of a single stage light and Jumbo screens.,The man enjoys playing music for people.,1,snli_377965
Two men wearing black shirts have a conversation near a video camera.,Some of the individuals depicted are probably wearing fairly similar shirts.,0,snli_38327
The lady in the yellow jacket and wearing a blue hat seems to be looking at something.,woman in a yellow jacket and blue hat is playing tennis,1,snli_330834
A man in an apron grabbing some cheese from a deli display.,The man sat on a chair thinking about cheese.,2,snli_440926
A man with a beard is walking his bike across the street.,A bike rider walks across the street during busy traffic.,1,snli_55233
"Jon holstered the pistol, the barrel still smoking, on his left hip.",Jon put the gun on his hip holster. ,0,mnli_179828
i mean they just go and buy it you know,They're not able to just head out and buy stuff.,2,mnli_204809
"a man without a shirt is standing next to a motorcycle, on a coast shore.",the man is admiring the coast while leaning next to his favorite motorcycly,1,snli_345206
A street in a town that looks like it's kept well and modern.,A street was cleaned for the upcoming event.,1,snli_520749
A little girl jumping on a couch.,A girl is playing.,0,snli_139284
An elderly woman carrying a purse and a shopping bag exiting a small smart car.,A woman carrying things is outside.,0,snli_506135
A woman in a black shirt is hugging a man.,A wife hugs her husband.,1,snli_444960
Children in uniforms chase pigeons.,Some children are outside.,0,snli_78026
"Justice Department, has no economic restrictions on who can get help.",There is no income requirements for those seeking help.,0,mnli_219658
I think Michael Jordan is beginning to get a bit frustrated with his new cohorts in the Washington Wizards front office.,I think Michael Jordan is very content with the new cohorts.,2,mnli_204225
A small crowd of people stand under sky light window.,The people are all men.,1,snli_411937
Three young men are resting on a bench near a food stand while other visitors or shoppers are passing close by.,They are sitting down.,0,snli_337354
A man is demonstrating something for a crowd.,A man performs a magic trick.,1,snli_537238
"A adult female with dark hair and sunglasses holding something, she has a scrolling tattoo on her arm.",A grown woman with a scrolling tattoo and dark hair has sunglasses and is holding something.,0,snli_375147
A man dressed in a reflective vest is pulling cabling out of a truck.,A man is pulling cabling out of a truck window.,1,snli_304405
A fisherman with a boat full of fish.,A boat full of people the large fish-like fisherman captured.,2,snli_230827
The Greek Theater in Griffith Park is a favorite venue for rock and pop concerts.,The Greek Theater is located in Griffith Park.,0,mnli_79230
and so it's like the same thing with IBM you know so they have this think tank and they got to come up with ideas but see uh the the thing is that IBM is so stabilized that everybody will buy their stuff,IBM lacks the talent and market presence to remain influential for very long.,2,mnli_39830
"By car, the drive along the Carretera de Circunvalacien, the beltway that parallels the River Tagus around the city, leads towards Parador hotel and the Roman bridge, Puente de Alcintara.","The drive leads to Parador hotel, an opulent place for guests to stay.",1,mnli_21456
Two young females and one young male are shoveling sand from the ground while another group in the distance does the same.,Some people are shoveling.,0,snli_275860
"She didn't understand how that could have happened, because according to the development of the situation, the robot adjusted and introduced new ingredients, for example, she had to add another carrot and take out two grains of allspice.",She didn't understand why the robot didn't just make the corrections.,0,mnli_40160
People walking along a path on a sunny day.,The people are walking at night.,2,snli_269238
A cat looking after the rabbits in a cage.,A cat watches caged rabbits.,0,snli_18047
"A person in blue with the word ""FRANCE"" on her back is shooting a bow and arrow to the left.",An archer fires a bow in a world championship match.,1,snli_367627
'Can I help you with anything?',You don't need anything.,2,mnli_170702
"A dog flies through the air, preparing to catch a ball.",The dog is in a field,1,snli_304025
by arranging for different family reunions and class reunions all over the country yeah i always thought that would be kind of might be kind of fun you know especially with a class reunion where,I have a family reunion coming up in August.,1,mnli_127505
A student is rushing to class while wearing headphones.,The school is closed.,2,snli_513684
A cloudy but well-populated beach with a woman in a white gown with a basket walking past.,The women stands alone at the beach.,2,snli_106173
Every American has been in a car crash.,All Americans have been in multiple car crashes.,1,mnli_215080
A child in a red shirt is using a black wakeboard to splash over a beach wave.,A child is playing at the beach.,0,snli_453383
A man with chin-length light hair works on a sculpture.,The man working on the sculpture has chin-length hair.,0,snli_5974
"After writing about Anderson's piece in , I sent a letter to the New York T imes , which printed it Sunday.",The article writer wanted to do a piece every Sunday.,1,mnli_2383
A couple of woman carrying bricks on there head.,The women are taking the bricks to market to sale.,1,snli_466332
"Bakaly, looking positively dyspeptic,  Uh.",Bakaly looked happy and free.,2,mnli_44719
Prepare To Win is this passage writ large.,Prepare To Win is a large portion of the passage.,0,mnli_53385
so yeah it's nice to have these little little benefits that i know wouldn't uh wouldn't happen in a real small company several of my friends have left uh the Metroplex is just full of little companies and they've left TI to go to a little company and and ended up you know even though they started with some vacation time uh it just did they had to schedule it around when they could get away and it just wasn't as convenient as being able to say well tomorrow i think i will you know,Smaller companies have fewer benefits than big companies.,0,mnli_171342
A man is kayaking through rough water.,A man in water.,0,snli_465403
A man in a red jacket standing in a doorway.,A man in a red jacket standing on the moon.,2,snli_198475
A sexy blond is sitting on a bicycle wearing lingerie.,A blonde wearing a tuxedo is on a bike.,2,snli_241991
The woman in the pink sleeveless shirt points to herself and smiles.,The woman is wearing a blue shirt.,2,snli_276965
"William Pascrell Jr., D-Paterson, who has sought to mediate the dispute, wrote of his concerns, We are not aware of any stakeholder who was consulted on this sudden proposal, no less any that support it.",William Pascrell Jr did not say anything about his concerns.,2,mnli_199990
People are walking in the rain with umbrellas and raincoats around the fountain.,People are happily walking in the rain.,1,snli_139477
"During a race, a young woman with red shorts is running in front of two other people.",a man driving a taxi,2,snli_13149
A man and a woman are carrying bags down an empty street.,Two people are carrying bags.,0,snli_92012
"Opposite on Padang Pahlawan (Bandar Hill) a sound-and-light show is held in the evenings, following the tradition of turning history into entertainment to draw the crowds.",Bandar Hill brings in the most tourism in the country.,1,mnli_21840
A woman is talking to a guy on the sidewalk,the woman drove her car up the busy streets,2,snli_28984
Village people are watching a woman who seems to be checking her messages possibly on her cellphone.,A bunch of people are near each other.,0,snli_162449
A man in a hat is sitting next to a little boy and next to a metal bucket.,A man and a little boy are ice fishing.,1,snli_166675
Two people and a dog play in the water using a blue inflatable toy., A couple is playing with a dog in the water using a blue inflatable toy.,1,snli_189085
A young man is standing in front of the Candy Cafe with a small tree with pink flowers in the front of the building.,A young man dances in the rain.,2,snli_143957
"A man wearing a tuxedo shirt, vest, and bowtie is kissing another man wearing the same thing on the cheek.",The first man is being affectionate to the other man.,0,snli_44262
Two girls crouch in front of a garden of small shrubbery.,Two girls are outdoors in nature.,0,snli_328154
"In addition to all the things we can't foresee, the historical verdict on Clinton will also hinge on such issues as whether he manages to steer welfare reform back in the right direction; whether he avoids being drawn into a counterproductive tax cut; and whether he overcomes his own recent history to lead campaign-finance reform.",History will decide prior to Clinton's election what his legacy will be.,2,mnli_303212
Ca'daan saw hunger in them.,Ca'daan figured they hadn't eaten in days.,1,mnli_162545
A man in a brown plaid shirt is selling pastries from a blue vending cart.,"The man is selling bread,",2,snli_522801
The demographic and economic assumptions imply a sharp drop in the average annual growth of aggregate hours worked from 0.7 percent through 2010 to 0.2 percent from 2020 through 2075.,Aggregate hours worked have been on a steady decrease. ,0,mnli_276735
"Two young men, one wearing a blue shirt, one wearing a white shirt, are sitting in a vehicle and laughing.",Two people are in a car.,0,snli_477390
Cyclist number forty-eight treks through the mud.,The Tour de France saw a lot of rain this year.,1,snli_114668
"I'll show you.""","I'll give you a video of my play.""",1,mnli_120686
Ethnic dancers perform in unison.,The dancers are practicing.,1,snli_145747
Man setting up a tent outside with onlooking girlfriend waiting.,A man is setting up a tent for his girlfriend.,0,snli_266495
A construction worker in a gray shirt and jeans crouches next to a orange bucket and white bags of materials.,A male construction worker crouches next to bags of materials.,1,snli_548789
That would be relinquishing a dream.,Having children would mean letting go of a dream.,1,mnli_207687
A blurred image of a black and white dog running through the grass.,the image is sharp,2,snli_60275
Motorcyclist upside down in midair during a daring stunt-leap,Motorcyclist not upside down in midair,2,snli_62240
"A man with a Nike hat, Nike shirt, Nike shorts, and Nike shoes is sitting on some sort of public transportation.",A man is sitting on a subway.,1,snli_500769
 Ser Perth stood up and motioned for Dave to follow.,Ser Perth collapsed onto the bed and took a nap while Dave completed the quest.,2,mnli_321880
Here is a picture of a man standing in front a billboard and talking to another man.,Here is a photo of 2 men in front of a billboard having an argument,1,snli_324059
An Asian woman and two men (one Asian and one white) are playing cards in the hallway of a train.,A group of people are on the subway,2,snli_171309
"It does not permit me to work before 11 a.m.""",Work is permissible before 11 a.m. ,2,mnli_253287
"In a modern building, employees cross paths with the janitor with an orange trashcan.",The janitor is carrying a trash can when meets several of the building workers.,0,snli_213001
The race car is speeding up the hill.,A car is moving.,0,snli_548216
a man in camouflage is making a announcement on a radio,A man is sending out an important message.,1,snli_546911
"After a meeting with Morris, I mentioned his new vocation to a",I met with Morris and congratulated him on the new job.,1,mnli_243041
well there's there's quite a few that can handle that uh any local nursery will be able to help you with with something like that,Any local nursery will be able to help with the task at hand,0,mnli_282244
"An older man with a beard wearing several coats, a pair of gloves, and a hat, sleeps on some grass.",A homeless lady sleeps under a bridge.,2,snli_458871
People walking in a supermarket.,People are looking at items,0,snli_224202
"The incongruous high-rise blot on the landscape directly opposite is the massive Hotel Dom Pedro, rather out-of-place in this low-key town, but an indicator of its tourism ambitions.",The hotel requires more than one hundred occupants each night to cover expenses.,1,mnli_65750
A group of people are sitting on the grass outside of a rustic building.,The church youth group sat on the grass outside their rustic church.,1,snli_487182
A man wearing a black shirt is walking down the street.,The woman stands by the curb.,2,snli_513110
People watching TV while eating.,Nobody is watching TV,2,snli_355236
An elderly man sits in a chair in an alleyway.,A young woman is lying on the beach.,2,snli_537655
A man with a black hat is looking pensively out the window of public transportation.,a man is looking out of a train window,1,snli_341987
A basket player is scoring.,A person put the ball in the hoop.,0,snli_405574
A group of men wearing orange reflective vests and pants are posing for a photo.,someone is working on a home,2,snli_467017
"Caballa, the rich-fleshed mackerel, is sometimes available ahumada (smoked).",Unfortunately a caballa can never be served smoked.,2,mnli_308381
Two men playing frisbee outside.,The two men are in the park.,1,snli_285772
Men and women of various ages sit playing instruments in an orchestra while a similar group stand in the background as a choir.,The choir sings while the orchestra plays instruments.,1,snli_157556
A man in a suit passes a woman in dress clothes in a grassy area.,A woman in a suit passes a woman in dress clothes in a grassy area.,2,snli_99396
A large crowd of people walking on a sidewalk.,There are many people outside.,0,snli_523600
a singer with orange hair sings in front of a band called ramor.,A guitarist bows.,2,snli_378604
oh basically bows and lace uh ribbons um i really wanted to do you know so many of them now have the ribbons where i'm not sure how they do it but the ribbons,"Bows, lace, and ribbons can be on them.",0,mnli_311926
There is a performance with a man in a t-shirt and jeans with a woman in all black while an audience watches and laughs.,A comic duo performing.,1,snli_172684
A lady in a plaid dress strokes her white dog's face.,There is a woman and dog in a park.,1,snli_355441
"Therefore she drank it between then and half-past eight,  certainly not much later. ",She drank it before half past 8.,0,mnli_96694
Cheerleaders are performing in a gym,cheerleaders are performing,0,snli_104254
A group of people sit on a lawn while one plays a guitar.,It is silent on the lawn.,2,snli_170360
A lady is eating in a restaurant and a man is downstairs kneeling in the restaurants' kitchen.,A lady is happily eating in a restaurant.,1,snli_99164
A girl is sitting on a crudely made swing above the water.,A girl is sitting on a swing.,0,snli_333050
"As the brown dog looks the other way, a large black and white dog plays with a smaller black dog.",More than one dog.,0,snli_384307
oh he could never cut it,He handled it fine.,2,mnli_80999
"In this picture, there are two college girls studying.",Students are studying in a library.,1,snli_21691
Isn't she here?,He isn't here.,2,mnli_351281
A woman bends over to attend to her child in a yellow jacket.,a child is cold,1,snli_485900
There were once more than 70 towers erected as symbols of its merchants' power and prestige until the town's Florentine conquerors ordered them dismantled in the 14th century.,The towers were taken down in the 1300s.,0,mnli_355675
"He played himself, campily, in Wayne's World . He draws thousands of fans to his goofy, self-consciously bombastic concerts.",His character was self-played in the movie Wayne's world.,0,mnli_129165
Long Beach established itself as a premier seaside resort by the early 1900s.,long Beach was always crowded with tourists.,1,mnli_227282
A woman and a boy playing a board game at a table.,The woman is wearing a red dress.,1,snli_81730
uh-huh well i didn't realize it could vary from state to state or university,I had no idea this could be different for each college or each jurisdiction.,0,mnli_299144
He's calling all hands on deck.,He needed everyone's help.,0,mnli_11985
um i have some some rock and some jazz and couple of maybe one or two country and western some uh oh i can't believe i can't think of his name um Garth Brooks i have a couple of his tapes,My tapes have a variety of genres of music. ,0,mnli_148647
A girl in a blue dress walks through a crowd of people.,a girl walks with her church community,1,snli_435161
A small dog with a ball in its mouth running through a course.,A small dog is carrying a ball.,0,snli_388933
"one little white boy wearing a baby blue shirt and has blond short hair, dark eyes and a little gap between his teeth, with his right arm over his heart and left hand holding his right hand.",A child is touching his hands together.,0,snli_237681
uh-huh it's like oranges and everything else but anyway,They are nothing like oranges.,2,mnli_314517
A girl wearing glasses hold a girl the same age wearing a red sweatshirt and yellow galoshes.,A girl wearing glasses joyously holds a girl,1,snli_324905
A woman in black clothes is sitting on a rock at the bottom of a waterfall.,A child splashes in the water pooled below the waterfall.,2,snli_403760
A man in a gray suit and purple tie is flipping a pancake in the middle of a sidewalk.,The person works for IHOP.,1,snli_5398
Children walk down a path on a sunny fall day.,The children look at leaves walking down the path.,1,snli_133893
"But if Don Cazar wishes to try the eastern methods of training, these horses are too old.",The ponies are too aged to try eastern training methods.,0,mnli_56275
Review of Research in Education,It is a review of educational research in early childhood education.,1,mnli_377783
"Talking directly to the camera, White looked somewhat worse for wear.",White looked worse then he had before.,0,mnli_184186
"The Poldi-Pezzoli Museum (Via Manzoni 12) is a small, formerly private collection displayed in the charming ambience of its original home dedicated to the city in 1881.",The Poldi-Pezzoli Museum is still a private collection.,2,mnli_260499
"But even if he lacks direct knowledge, he has chosen the perfect suburban verbal style for this administration, an excellent advance on soccer mom.",He lacks direct knowledge but makes up for it in another way.,0,mnli_82823
"She added that when she has not been able to reach everyone, she responds to patients who request help.",She responds to patients who request help.,0,mnli_287817
Should we use the tax system to penalize companies that fire workers and reward those that do not?,Tax tax penalty of at least ten thousand dollars will be required to have a measurable effect.,1,mnli_59095
"The happiness of one man and one woman is the greatest thing in all the world."" His words took me back to earlier events. ",The greates thing in the world is the misery of a man and a woman.,2,mnli_38347
Two women are sitting against an orange wall behind a few tables covered in food.,Two sisters are sitting against a wall.,1,snli_18626
"2 men, one in orange raincoat and hard hat and holding a yellow pole, other man in jeans and t-shirt, both looking at caution cone.",a man in jeans and a construction worker look at a caution cone in the middle of a street,1,snli_276164
A man's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen.,The man is cooking.,0,snli_539062
"Good heavens, Poirot! I cried. ","What have you done, Poirot! I cried.",1,mnli_344675
A man in blue doing kung fu.,A man is doing kung fu.,0,snli_88001
"Two men, one in a green jacket and one in a red jacket, are trying to build a fire in the woods.",Two men are in the woods.,0,snli_489291
"We provide indirect confirming evidence of the hypothesis, using the fact that the model implies that mail processing and delivery costs will comprise specific percentages of total costs at specific per capita volume levels.","The model implies that mail processing and delivery costs will comprise specific percentages of total costs at specific volume levels, however it doesn't state this as fact.",0,mnli_160690
"No doubt--as former Congressional Budget Office Director Bob Reischauer points out--with all the election-year pressure on Republicans to show they really aren't so bad and the temptation for Clinton to show his newfound muscle, the final appropriations package isn't bad.",The final appropriations package was a good compromise between two sides. ,1,mnli_323936
Five boys wearing athletic attire run in the early morning on grass.,The group of boys went jogging in the early morning.,0,snli_340257
we didn't of course weren't prepared for it so,We did it and were prepared.,2,mnli_13268
"Caleng itself a Noah's ark for owls, the Owl Centre hosts a bird flight event every afternoon at 2:30.",The Owl Centre was the furthest thing from a Noah's ark for owls that one could think of.,2,mnli_77786
"a young male sleds on a white sheet of plastic, with a smile on his face and his hair blowing back.",The mans friends are watching him.,1,snli_122388
A woman in a white shirt standing beside a road fanning herself.,A woman's car breaks down on a hot summer day.,1,snli_326044
Two men and two women are preparing food and talking in a kitchen.,someones making the soup,1,snli_299541
A woman stands in the road looking off at the buildings in the distance.,The woman is a tourist looking at buildings in Chicago.,1,snli_188426
A photographer stands in the shadows in front of a wall covered with graffiti.,A man sweats from eating hot food.,2,snli_109945
Several young Asians relaxing on a street.,The young asians are female.,1,snli_149043
Hikers cross a bridge over a fast moving stream and rocky scenery.,People are crossing a bridge,0,snli_497151
A man in a hat and sandals is cooking a meal over a campfire.,A child is eating ice cream in the kitchen.,2,snli_233055
a construction crew setting up a screen of some kind.,The screen will work well,1,snli_282923
"It occupied the slope of the hill south of El-Aksa Mosque, a neighborhood called the Ophel (or the Cityof David).",The City of David neighborhood is north of the El-Aksa Mosque.,2,mnli_163696
A little girl in a dress lifts her soaked head from a bucket.,A kid gets her head stuck in a bucket.,2,snli_54373
Craftsman hanging from a rope.,There is someone hanging from the rope.,0,snli_4044
Adrin had collapsed his tunnel.,Adrin had set off an explosion to collapse the tunnel.,1,mnli_339546
"Closeup of a young caucasian boy with brown eyes, and in a red fleece zip-up jacket, holding up a monarch butterfly on his index finger.",The boy is curious about the butterfly.,1,snli_293169
A girl in a tutu and a boy in a costume in a dancefloor.,The couple dance on the dancefloor.,1,snli_484327
A man giving a small child a drink.,The man got a drink from the youngster.,2,snli_439748
Skier takes a steep path down the mountain.,A skiier is running inside.,2,snli_228736
A man is bending down to look at something on the sidewalk.,A man is looking up at the cloudy sky.,2,snli_263751
Blond woman looking down over a wooden rail.,A girl looks out past a railing,0,snli_180326
"Architect Herrera even took pains to design the bookcases, done in rare woods.","The bookcases, designed by Herrera, are made of rare woods.",0,mnli_166484
"Remember, I haven't seen you since that time in hospital in 1916.""",I saw you in 1915.,1,mnli_57061
A girl in striped swimsuit is jumping into the ocean.,A girl in striped swimsuit is jumps into the ocean to catch fish,1,snli_320884
Fans cheer and wave flags for the vancouver whitecaps soccer team.,Fans cheer at a soccer game.,0,snli_213619
A climber is attempting to climb around an overhang above the woods.,the climber is alone,1,snli_181494
"To find your way here, you probably typed in Slate's home page URL, //www.slate.com.","In order to arrive at the home page, you must have typed //www.slate.com.",0,mnli_307300
But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,An apathetic policeman would stop him but offer no explanation.  ,2,mnli_284870
A young boy is jumping down a large and colorful inflatable slide.,the boy is at the doctors office,2,snli_208917
"While Illinois initially had five federally funded legal services programs, planners identified another twenty-two programs that were providing legal services to the economically disadvantaged.",Illinois never had any federally funded legal services programs.,2,mnli_261952
A woman in a yellow hat and yellow shirt holding her hand out like a claw.,The woman's hands are at her side.,2,snli_65052
Two young men stand holding a sign against a wall.,Men hold a sign in the middle of a room.,2,snli_187148
"A group of young people stand in front of and touch a black, rusting metal structure.",A group of young people eat tacos.,2,snli_435579
A person in a backyard is jumping in the air.,The person is jumping to dunk the ball.,1,snli_410429
"A bon vivant who held extravagant parties, Vaudreuil and his elegant wife presided over a sort of Golden Age of social grace, when the colonial elite were invited to plays, musicales, and balls.",Vaudreuil and his elegant wife were known for their participation in parties and other social events.,0,mnli_349574
yeah exactly vegetables and and the same with you know a lot of people wonder do you you know do you find restaurants that will just have vegetarian meals and and even,Are you able to locate restaurant with vegetarian options.,0,mnli_353583
2 woman surfers carrying their boards across the beach.,Two women riding a tandem bike.,2,snli_329021
A boy in a bathing suit serves a volleyball.,A boy serves a volleyball while wearing a bathing suit.,0,snli_111565
A black dog wearing a blue collar is running through the snow.,The dog is sleeping on the snowbank.,2,snli_537154
"Meanwhile, there is another ethnic group in America whose children devote their free time not to hockey but to extra study.",There are children who study instead of playing sports.,0,mnli_246258
5 million in federal funds under the Violence Against Women Act (VAWA) for use in rendering assistance in domestic violence cases.,There are no funds available under the Violence Against Women Act . ,2,mnli_102536
He did not say that he would take any action in response to  He asked if monetary policy should be any different if there were overvaluation.,He was curious if overvaluation would change monetary policy.,0,mnli_263262
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy does not have his arms out,2,snli_1142
You've also got to know your values.,You've also been able to get to know your values.,0,mnli_384532
yeah yeah so do you have a do you have a garden or do you just do your landscaping now and your lawn,You enjoy working outdoors. ,0,mnli_149961
"And he said, Arise, Jacob, and put aside politics for a few months.","Jacob had become so involved in politics that he neglected school, work, and his diet in favor of reading news.",1,mnli_93072
"I guess if I go to and fro hustling them, they ought to get busy!"" The energy of Mr. Hersheimmer was tremendous.","If they speed up, work will get done quicker and we can eat sooner.",1,mnli_291877
"Relief from this was offered by Dolce &amp; Gabbana's two-piece in white lace and Lycra, indistinguishable from the underwear of 1949 and selling for only $125.",Dolce & Gabbana is selling it for $425.,2,mnli_123892
"Several women, one in a black dress, walking down the street.",Women are walking to a party.,1,snli_161852
A girl wearing boots stands next to a swimming pool and four people seated on a bench.,7 men attempt to finish a giant burger,2,snli_421992
"The object Annette had thrust into his hand was a small penknife, the blade open.",Annette gave him a large silver stirring spoon.,2,mnli_85188
A small child points at a moped.,A small child points at a moped to ride it.,1,snli_137505
The teacher demonstrates a story with pictures on a chalkboard.,A teacher marks on a chalkboard,0,snli_258817
"Wolf first began advising Clinton when her husband, David Shipley, worked as a White House speechwriter.",David Shipley and his wife were brought to the White House by Clinton at the same time,2,mnli_162679
A woman plays with a baby wearing a blue hooded sweatshirt and lying on a patterned rug.,A lady and a child are laying together.,0,snli_466012
Women dancing on a stage while wearing a blue dress.,Women in blue dress dances on a stage.,0,snli_151098
4 people watch as a person jumps off a pier.,A person is watching a movie.,2,snli_29002
"Traditionally, the danger to any management reform is that it can become a hollow, paper-driven exercise.",A paper driven management reform might not be effective.,0,mnli_181544
"Henry V is, in fact, Shakespeare's archetype of the perfect Hero-King precisely because of his Machiavellian qualities (which certainly are present)--Henry understands, as he explains during his tour of the army before Agincourt, that the moral demands upon a King are very different from those upon ordinary men.","William Shakespeare's archetype of a hero-king, Henry V is because he posesses Machiavellin qualities; Henry understands this during an army tour predaring Agincourt that moral demands of a kind are extremely different and higher than that of regular men. ",0,mnli_340432
"Finally, we can try to remove temptation, by avoiding policy initiatives that make it easy for politicians to play favorites.",Politicians will try for more temptation.,1,mnli_81671
A man on the Miami basketball team holds the ball getting ready to make a move while being blocked.,the man is black,1,snli_521499
"A few carp that Finnegan's dry prose shows how far literary journalism has fallen from the pyrotechnics of its originators, such as Tom Wolfe.",Some people think that literary journalism was much better in the past.,0,mnli_327515
i'm not for sure it's that one in September is when you need to quit,I am sure you should not quit at all.,2,mnli_93147
